gene,role,normal_mean,tumor_mean,change_pct,p_value
KRT18,FA,9.510768039215685,9.939292086330935,4.505672363665264,7.104411373043462e-06
SOX9,FA,7.236881568627451,7.328911870503596,1.2716845094592213,0.11118120069128551
MUC1,FA,8.74706303921569,9.64925978417266,10.314281958551733,5.2796622515525154e-08
EPCAM,FA,8.708940294117648,9.426237482014388,8.236331444150906,1.5285279917033699e-06
TFF1,FA,6.750266078431373,8.57288417266187,27.000685203419973,2.7204902896269004e-15
TFF2,FA,6.175518823529413,7.248594460431655,17.376283152335393,1.2447104414693157e-10
KRAS,KRAS,7.149416960784313,7.695766402877698,7.641874086938818,1.0926188197142192e-15
HRAS,KRAS,6.8728235294117646,6.904693309352518,0.46370723479758735,0.10207273234408865
NRAS,KRAS,8.497716470588236,8.757875179856114,3.0615131743724775,7.325267901575298e-09
BRAF,KRAS,7.961005000000003,7.826028417266186,-1.6954716487907833,9.507929212629654e-09
MAP2K1,KRAS,7.607919705882353,7.84324201438849,3.0931229245780263,1.258439761119184e-08
MAPK1,KRAS,9.31529362745098,9.336308417266187,0.2255944971318812,0.483218147713719
MAPK3,KRAS,7.706426764705881,8.059588345323741,4.582689116508306,2.4683735100777392e-12
MYC,KRAS,8.534823529411764,7.835095395683451,-8.198507342500836,1.0062166940887323e-14
CCND1,KRAS,8.374613039215685,8.679174964028777,3.6367283286633496,1.0115388412863388e-06
MKI67,KRAS,5.156912647058824,6.0980861870503595,18.250717132630157,1.0809412874703944e-16
EZH2,EZH2,5.880266274509804,6.21204690647482,5.642272245446467,1.8244080777538465e-09
EED,EZH2,7.490554705882353,7.56369165467626,0.976388954698811,0.007622328814109069
SUZ12,EZH2,7.882866176470588,8.162257122302158,3.5442812243282567,2.0590103733465865e-07
JARID2,EZH2,6.837077058823529,7.050460287769784,3.12097153667261,2.7980041212643676e-05
KDM6A,EZH2,7.183136960784315,7.262687769784173,1.1074661312203566,0.07479978612181826
RING1,EZH2,7.066616862745098,7.095918848920864,0.41465367013521,0.11296315380327343
POSTN,STROMA,7.423109705882353,9.832769712230215,32.46159765681971,4.7965972856867844e-21
SPARC,STROMA,10.732295392156866,11.675693741007194,8.790275652865104,2.1783956931482644e-10
FN1,STROMA,9.718215098039215,11.538622158273382,18.731907473435733,1.1545664854175703e-21
ACTA2,STROMA,9.96063362745098,10.982753453237411,10.26159443280318,2.636382628645963e-12
FAP,STROMA,6.54214931372549,8.097623165467628,23.776190012642157,3.448586261340273e-15
PDGFRA,STROMA,8.09113725490196,8.507682517985613,5.148167061821758,2.200678728549158e-05
COL1A1,STROMA,9.829423725490194,11.219137697841727,14.13830567449902,1.1503521254803219e-10
COL1A2,STROMA,9.848485980392157,11.165690143884891,13.374686892129631,1.3993950618106765e-11
TGFB1,STROMA,6.944484901960785,7.443220647482013,7.181752895458223,1.130017218601052e-09
TGFB2,STROMA,7.07359411764706,7.8007727338129484,10.280185773618786,2.3324662378340425e-08
GATA6,SUBTYPE,7.980598823529411,7.71426165467626,-3.337308073523281,2.1436186908704027e-08
KRT5,SUBTYPE,5.294426176470588,5.857694532374101,10.638893378224477,0.020427213405139852
KRT14,SUBTYPE,6.185220098039216,6.531383884892087,5.596628436271951,2.6544906343337067e-07
VIM,SUBTYPE,10.140742745098038,10.26600942446043,1.235281108210195,0.032458138059690736
CDH1,SUBTYPE,8.72086950980392,9.182523021582734,5.293663794187341,0.0027974760438536717
CDH2,SUBTYPE,5.324010588235293,6.004244676258993,12.776723050229164,8.609454205910482e-12
ZEB1,SUBTYPE,7.505634411764706,8.004759712230214,6.650008154982273,1.0376691932473175e-07
SNAI1,SUBTYPE,5.3157853921568625,5.415824316546763,1.8819218047722914,0.018146558325864492
TWIST1,SUBTYPE,6.555933137254902,6.626448345323741,1.0755937651061072,0.09604402766744846
DNMT3A,OTHER,6.487520392156864,6.518974316546762,0.4848373876084362,0.10837222302856836
