,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,data_processing,platform_id,contact_name,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,supplementary_file,data_row_count
GSM1523737,N141,GSM1523737,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 141,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523737/suppl/GSM1523737_INT201201-10-1_141N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523738,N142,GSM1523738,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 142,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523738/suppl/GSM1523738_INT201201-10-1_142N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523739,N144,GSM1523739,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 144,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523739/suppl/GSM1523739_INT201201-10-1_144N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523740,N146,GSM1523740,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 146,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523740/suppl/GSM1523740_INT201201-10-1_146N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523741,N150,GSM1523741,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 150,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523741/suppl/GSM1523741_INT201201-10-1_150N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523742,N151,GSM1523742,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 151,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523742/suppl/GSM1523742_INT201201-10-1_151N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523743,N157,GSM1523743,Public on Feb 15 2019,Oct 10 2014,Feb 15 2019,RNA,1,Normal from patient 157,Homo sapiens,tissue: normal gastric tissue,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523743/suppl/GSM1523743_INT201201-10-1_157N_HG-U133_Plus_2_.CEL.gz,54675
GSM1523744,T160,GSM1523744,Public on Apr 17 2015,Oct 10 2014,Apr 17 2015,RNA,1,Tumor from patient 160,Homo sapiens,tissue: Gastric tumor,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523744/suppl/GSM1523744_INT201201-10-1_160T_HG-U133_Plus_2_.CEL.gz,54675
GSM1523745,T164,GSM1523745,Public on Apr 17 2015,Oct 10 2014,Apr 17 2015,RNA,1,Tumor from patient 164,Homo sapiens,tissue: Gastric tumor,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523745/suppl/GSM1523745_INT201201-10-1_164T_HG-U133_Plus_2_.CEL.gz,54675
GSM1523746,T165,GSM1523746,Public on Apr 17 2015,Oct 10 2014,Apr 17 2015,RNA,1,Tumor from patient 165,Homo sapiens,tissue: Gastric tumor,total RNA,Samples are processed in parallel in 96-well plates to minimize potential variation. Reaction purification is achieved using magnetic binding beads for cDNA and Qiagen RNeasy kits for cRNA purification.,biotin,standard Affymetrix protocol,9606,GeneChip microarrays are loaded with the fragmented target sample/hybridization buffer mix using standard manual techniques. Arrays are hybridized for 18 hours at 45oC with vigorous mixing. Unbound sample is removed and staining is accomplished through the binding of streptavidin conjugated phycoerythrin to the hybridized target. Excess label is removed. Washing and staining steps are performed by the Affymetrix FS450 fluidics station using standard protocols.,Arrays are scanned using a GeneChip Scanner 3000 7G with a 48 array autoloader. The scanner maintains the optimal temperature for the arrays prior to and during scanning.,ACRG Gastric cohort: microarray profiles from 300 gastric tumors and 100 patient matched normal tissue from gastric cancer patients,The data were analyzed by RMA with Affymetrix Power Tools package using Affymetrix default analysis settings.,GPL570,"Michael,,Nebozhyn",GpGx/Computational System biology,"Merck, Inc","Mail Stop WP53B-120, 770 Sumneytown Pike, Building 53, P.O. Box 4",West Point,PA,19486,USA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1523nnn/GSM1523746/suppl/GSM1523746_INT201201-10-1_165T_HG-U133_Plus_2_.CEL.gz,54675
