gene,n_types,coverage,ccRCC,PRCC,chRCC,cdRCC
KDM5C,1,1/4,0.0678,,,
PIK3CA,1,1/4,0.0966,,,
PLIN2,1,1/4,0.5382,,,
EGLN2,1,1/4,0.2213,,,
HNF1A,1,1/4,0.0842,,,
ERBB2,1,1/4,,0.5556,,
ITGA3,1,1/4,,0.5012,,
SOX4,1,1/4,,0.4634,,
AXL,1,1/4,,0.4559,,
PROM1,1,1/4,,0.4192,,
CD44,1,1/4,,0.3938,,
SETD2,1,1/4,,0.3075,,
ASXL1,1,1/4,,0.2989,,
TET2,1,1/4,,0.2921,,
LOXL2,1,1/4,,0.2754,,
CAV1,1,1/4,,0.1795,,
IFI16,1,1/4,,0.1654,,
IL2RA,1,1/4,,0.1249,,
CDH1,1,1/4,,0.0918,,
MMP2,1,1/4,,0.0847,,
FGFR1,1,1/4,,0.0838,,
BAP1,1,1/4,,0.0823,,
POSTN,1,1/4,,0.0787,,
RPTOR,1,1/4,,0.0779,,
RCOR1,1,1/4,,0.0702,,
MMP9,1,1/4,,0.0420,,
UMOD,1,1/4,,0.0236,,
EGFR,1,1/4,,0.0198,,
LAMC2,1,1/4,,0.0010,,
RUNX1,1,1/4,,0.0010,,
MUC1,1,1/4,,0.0010,,
AKR1C1,1,1/4,,,0.0010,
AKR1C3,1,1/4,,,0.0010,
AKR1E2,1,1/4,,,0.0010,
HSD17B14,1,1/4,,,0.0010,
CYP1B1,1,1/4,,,0.0010,
SULT2B1,1,1/4,,,0.0010,
TM6SF2,1,1/4,,,0.0010,
ABCC2,1,1/4,,,0.0010,
SLC51B,1,1/4,,,0.0010,
GPD1,1,1/4,,,0.0010,
IL1RN,1,1/4,,,,0.2646
GPRC5A,1,1/4,,,,0.2371
IL1RAP,1,1/4,,,,0.2285
IL1A,1,1/4,,,,0.2188
PAEP,1,1/4,,,,0.2162
IL6,1,1/4,,,,0.2131
CEBPB,1,1/4,,,,0.1986
CST1,1,1/4,,,,0.1978
MIR31HG,1,1/4,,,,0.1939
RHBDL2,1,1/4,,,,0.1850
LY6D,1,1/4,,,,0.1747
ANXA8L1,1,1/4,,,,0.1737
IL1B,1,1/4,,,,0.1723
AGR2,1,1/4,,,,0.1708
ADCY3,1,1/4,,,,0.1685
DNMT3B,1,1/4,,,,0.1570
NLRP3,1,1/4,,,,0.1496
ANXA8,1,1/4,,,,0.1470
NPBWR1,1,1/4,,,,0.1447
KLF5,1,1/4,,,,0.1445
HOXC13,1,1/4,,,,0.1357
SERPINA1,1,1/4,,,,0.1347
S100A7,1,1/4,,,,0.1294
PTHLH,1,1/4,,,,0.1224
TP53,1,1/4,,,,0.1127
IL1R2,1,1/4,,,,0.1014
BARX1,1,1/4,,,,0.0948
CEBPA,1,1/4,,,,0.0914
ISL2,1,1/4,,,,0.0805
ADIPOQ,1,1/4,,,,0.0715
B4GALT5,1,1/4,,,,0.0679
ZBED6CL,1,1/4,,,,0.0675
KRT18,1,1/4,,,,0.0669
LLGL1,1,1/4,,,,0.0644
KRT8,1,1/4,,,,0.0590
RAC1,1,1/4,,,,0.0568
IL18,1,1/4,,,,0.0537
NFKBIA,1,1/4,,,,0.0526
EED,1,1/4,,,,0.0495
NFKB1,1,1/4,,,,0.0473
PRKCI,1,1/4,,,,0.0445
SCRIB,1,1/4,,,,0.0403
INPP4B,1,1/4,,,,0.0385
ADPRM,1,1/4,,,,0.0379
IL1R1,1,1/4,,,,0.0366
HDAC2,1,1/4,,,,0.0265
KLF4,1,1/4,,,,0.0232
SUZ12,1,1/4,,,,0.0204
PRKAR2B,1,1/4,,,,0.0203
KDM6A,1,1/4,,,,0.0130
RHOA,1,1/4,,,,0.0085
FABP4,1,1/4,,,,0.0065
AKT1,1,1/4,,,,0.0055
KDM6B,1,1/4,,,,0.0054
PPARG,1,1/4,,,,0.0010
CST6,1,1/4,,,,0.0010
KLF10,1,1/4,,,,0.0010
TMPRSS4,1,1/4,,,,0.0010
ESRP1,1,1/4,,,,0.0010
